country_code,country_name,country_code.source,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA,สหรัฐอเมริกา,USA.DDDM01USA156NWDB,133.613,130.38299999999998,141.644,137.64,78.4725,104.139,114.848,100.26299999999999,114.854,142.69799999999998,150.026,137.688,146.30700000000002,164.894,148.273,158.572,194.889
CNA,จีน,CNA.DDDM01CNA156NWDB,22.8972,17.5791,41.6206,126.15299999999999,38.7171,70.0384,66.1694,45.1845,43.3342,41.2641,57.3227,74.0223,65.1701,70.7634,45.5197,59.6326,83.1613
JPA,ญี่ปุ่น,JPA.DDDM01JPA156NWDB,72.7077,94.6483,100.27,94.5668,61.0143,62.5028,66.4651,53.3501,55.4629,87.162,89.4017,110.124,99.0331,126.20200000000001,105.141,120.84100000000001,133.295
INA,อินเดีย,INA.DDDM01INA156NWDB,58.5976,76.1523,95.2151,161.24,66.0031,101.895,105.18299999999999,68.2701,76.0772,68.1342,82.7172,82.9616,76.0981,96.3988,84.4384,80.7658,97.2927
GBA,สหราชอาณาจักร,GBA.DDDM01GBA156NWDB,116.273,120.17200000000001,139.171,123.83200000000001,63.5668,115.279,107.859,109.62100000000001,121.054,140.795,115.669,,,,,,
KRA,เกาหลีใต้,KRA.DDDM01KRA156NWDB,54.0014,76.8007,79.2243,95.7354,44.9518,88.4161,95.4412,79.4862,92.2555,90.0608,81.7048,83.9966,83.6299,109.10600000000001,81.9619,89.9128,132.865
DEA,เยอรมนี,DEA.DDDM01DEA156NWDB,42.4437,42.2267,54.6835,61.4553,29.6529,37.885,42.0547,31.5924,42.1393,51.8534,44.7029,51.1022,49.4557,61.2927,44.1299,53.9608,59.3828
FRA,ฝรั่งเศส,FRA.DDDM01FRA156NWDB,73.6909,80.07342,104.7295,103.1284,50.45284,72.34291,72.33439,54.30741999999999,67.37357,81.85776,73.13375,85.64968,87.36532,106.2028,84.90751999999999,84.90751999999999,209.1409
CAA,แคนาดา,CAA.DDDM01CAA156NWDB,114.691,126.34700000000001,128.91299999999998,148.864,66.5588,122.02799999999999,134.245,106.666,112.667,114.471,116.042,102.37,130.467,143.52200000000002,112.321,138.29399999999998,160.533
AUA,ออสเตรเลีย,AUA.DDDM01AUA156NWDB,126.416,115.67299999999999,146.592,152.035,64.8141,135.975,126.743,85.7129,89.6777,86.654,87.8163,87.8973,105.12200000000001,113.685,88.3986,106.87100000000001,129.576
BRA,บราซิล,BRA.DDDM01BRA156NWDB,49.3578,53.2334,64.1234,98.0386,34.9066,80.219,69.9719,46.9749,49.7904,41.2669,34.3599,27.2184,42.2432,46.2665,47.8277,63.3838,68.2312
MXA,เม็กซิโก,MXA.DDDM01MXA156NWDB,21.9117,27.2518,35.7135,37.7815,21.0862,39.1142,42.9519,34.6204,43.715,41.2742,36.5108,34.3258,32.5278,35.9838,31.4994,32.5837,36.7593
IDA,อินโดนีเซีย,IDA.DDDM01IDA156NWDB,28.5203,28.4845,38.0959,48.9784,19.3561,39.835,47.7276,43.6865,46.6539,37.9906,47.3866,41.0373,45.6893,51.2679,46.7024,46.7627,46.8585
ZAA,แอฟริกาใต้,ZAA.DDDM01ZAA156NWDB,172.99,190.15900000000002,234.065,248.648,152.689,242.31,221.63,172.203,208.96,235.18200000000002,244.998,212.265,293.993,322.711,213.74400000000003,272.29900000000004,313.475
TRA,ตุรกี,TRA.DDDM01TRA156NWDB,24.041,31.6007,28.8794,41.7606,15.2615,35.6825,38.9248,23.4959,35.7953,20.4374,23.4051,21.851,19.7501,26.4858,19.1739,24.3055,32.9845
VNA,เวียดนาม,VNA.DDDM01VNA156NWDB,,,,,12.4743,31.4174,25.0376,15.0418,18.7664,21.1161,22.4574,24.5485,28.4805,44.5383,42.9712,45.3454,54.1916
PHA,ฟิลิปปินส์,PHA.DDDM01PHA156NWDB,30.1066,37.0496,53.1533,65.9395,28.6473,49.0692,75.501,70.4759,87.552,76.5474,88.0186,77.9321,75.241,88.4074,74.4303,73.0587,75.4083
SGA,สิงคโปร์,SGA.DDDM01SGA156NWDB,189.06799999999998,201.34900000000002,258.552,297.983,136.858,247.87099999999998,269.892,214.165,259.272,242.025,239.107,207.775,200.86700000000002,229.391,182.297,185.705,189.002
HKA,ฮ่องกง,HKA.DDDM01HKA156NWDB,509.441,581.0419999999999,886.115,1254.47,605.97,1076.94,1185.86,908.6160000000001,1078.3,1124.71,1109.26,1029.43,995.217,1274.79,1055.82,1349.46,1777.54
ESA,สเปน,ESA.DDDM01ESA156NWDB,87.991,83.2016,104.96,122.105,58.1147,96.1828,82.3865,69.6279,75.1155,82.3944,72.4108,65.8408,57.1453,67.7189,50.9285,57.2333,59.2418
ITA,อิตาลี,ITA.DDDM01ITA156NWDB,43.7057,42.9483,52.6533,48.4629,21.6755,29.8122,25.0484,18.8012,23.0875,28.7341,27.1651,,,,,,
PLA,โปแลนด์,PLA.DDDM01PLA156NWDB,27.6472,30.7138,43.1919,49.3254,17.0191,34.3299,39.7441,26.1677,35.5868,39.2584,31.1341,28.8334,29.3445,38.2506,27.3203,25.3849,29.7521
SAA,ซาอุดีอาระเบีย,SAA.DDDM01SAA156NWDB,,,,,,74.2799,66.9074,50.4848,50.732,62.5953,63.8746,64.3557,69.5932,65.5515,60.7845,299.499,345.353
EGA,อียิปต์,EGA.DDDM01EGA156NWDB,,,87.0332,106.774,52.8062,48.2203,38.4854,20.6999,21.2033,21.366999999999997,22.9335,16.757,10.0237,19.7452,16.8215,14.5835,11.3213
ARA,อาร์เจนตินา,ARA.DDDM01ARA156NWDB,24.6535,23.9464,22.0333,19.8484,11.0218,13.7382,15.0863,8.22007,6.273969999999999,9.62,11.4269,9.438369999999999,11.4076,16.8948,8.762260000000001,8.69963,
GRA,กรีซ,GRA.DDDM01GRA156NWDB,51.9753,58.5458,73.3681,83.0851,25.3436,33.9962,22.7468,11.9362,18.5418,34.5716,23.4242,21.5039,19.2407,25.3222,18.0952,26.1543,27.0007
RUA,รัสเซีย,RUA.DDDM01RUA156NWDB,,,,,,62.3023,62.3834,38.2983,37.3745,33.6168,18.7412,28.8407,48.7201,39.6027,34.7617,46.7493,46.6794
QAA,กาตาร์,QAA.DDDM01QAA156NWDB,,,,119.814,66.3924,66.3924,66.3924,66.3924,66.3924,76.7766,90.1252,88.1393,102.038,81.0743,88.9342,91.0219,114.53
NGA,ไนจีเรีย,NGA.DDDM01NGA156NWDB,11.6331,12.629000000000001,13.9051,30.8007,14.1578,10.9229,13.9841,9.63679,12.3392,15.8465,11.4814,10.2657,7.36252,9.90498,7.93588,9.80129,13.0858
