year,rank,ticker,segment,name,return_,start_date,start_price,end_date,end_price
2005,1,IAU,ทองคำ,iShares Gold Trust,0.02904314897305449,2005-12-19,10.053999900817873,2005-12-30,10.345999717712402
2005,2,GLD,ทองคำ,SPDR Gold Shares,0.027080855780443613,2005-12-19,50.220001220703125,2005-12-30,51.58000183105469
2006,1,GLD,ทองคำ,SPDR Gold Shares,0.189947295848522,2006-01-03,53.119998931884766,2006-12-29,63.209999084472656
2006,2,IAU,ทองคำ,iShares Gold Trust,0.18868627915217062,2006-01-03,10.642000198364258,2006-12-29,12.649999618530272
2006,3,DBC,ภาพรวม,Invesco DB Commodity Index Tracking,0.040575265717600395,2006-02-06,19.18509864807129,2006-12-29,19.96353912353516
2006,4,SLV,เงิน,iShares Silver Trust,-0.06863596404374472,2006-04-28,13.812000274658203,2006-12-29,12.86400032043457
2006,5,GSG,ภาพรวม,iShares S&P GSCI Commodity-Indexed,-0.18639594528275694,2006-07-21,49.25,2006-12-29,40.06999969482422
2007,1,USO,น้ำมันดิบ,United States Oil Fund,0.5336032347396282,2007-01-03,395.2000122070313,2007-12-31,606.0800170898438
2007,2,GSG,ภาพรวม,iShares S&P GSCI Commodity-Indexed,0.3734374891345704,2007-01-03,38.400001525878906,2007-12-31,52.7400016784668
2007,3,DBC,ภาพรวม,Invesco DB Commodity Index Tracking,0.3589100875405622,2007-01-03,19.330028533935547,2007-12-31,26.26777076721192
2007,4,DBA,สินค้าเกษตร,Invesco DB Agriculture,0.3372272378631025,2007-01-05,20.80892944335937,2007-12-31,27.82626724243164
2007,5,GLD,ทองคำ,SPDR Gold Shares,0.32402056359519404,2007-01-03,62.27999877929688,2007-12-31,82.45999908447266
2008,1,IAU,ทองคำ,iShares Gold Trust,0.020850517033236038,2008-01-02,16.97800064086914,2008-12-31,17.332000732421875
2008,2,GLD,ทองคำ,SPDR Gold Shares,0.01956158402987751,2008-01-02,84.86000061035156,2008-12-31,86.5199966430664
2008,3,DBA,สินค้าเกษตร,Invesco DB Agriculture,-0.20190682120683134,2008-01-02,28.197397232055664,2008-12-31,22.504150390625
2008,4,SLV,เงิน,iShares Silver Trust,-0.2621871156717711,2008-01-02,15.18000030517578,2008-12-31,11.199999809265137
2008,5,DBC,ภาพรวม,Invesco DB Commodity Index Tracking,-0.3362884931292536,2008-01-02,26.99188041687012,2008-12-31,17.91482162475586
2009,1,SLV,เงิน,iShares Silver Trust,0.44960570873966876,2009-01-02,11.40999984741211,2009-12-31,16.540000915527344
2009,2,GLD,ทองคำ,SPDR Gold Shares,0.24446240729463176,2009-01-02,86.2300033569336,2009-12-31,107.30999755859376
2009,3,IAU,ทองคำ,iShares Gold Trust,0.24342793060741164,2009-01-02,17.270000457763672,2009-12-31,21.474000930786133
2009,4,DBC,ภาพรวม,Invesco DB Commodity Index Tracking,0.12266301419242986,2009-01-02,18.540447235107425,2009-12-31,20.814674377441406
2009,5,USO,น้ำมันดิบ,United States Oil Fund,0.10244169525012925,2009-01-02,285.0400085449219,2009-12-31,314.239990234375
2010,1,SLV,เงิน,iShares Silver Trust,0.75159611764323,2010-01-04,17.229999542236328,2010-12-31,30.18000030517578
2010,2,IAU,ทองคำ,iShares Gold Trust,0.2649011933035037,2010-01-04,21.97800064086914,2010-12-31,27.799999237060547
2010,3,GLD,ทองคำ,SPDR Gold Shares,0.26338795414525573,2010-01-04,109.8000030517578,2010-12-31,138.72000122070312
2010,4,DBA,สินค้าเกษตร,Invesco DB Agriculture,0.2120644303113437,2010-01-04,22.94254302978516,2010-12-31,27.80784034729004
2010,5,DBC,ภาพรวม,Invesco DB Commodity Index Tracking,0.09152130540492642,2010-01-04,21.33884620666504,2010-12-31,23.291805267333984
2011,1,IAU,ทองคำ,iShares Gold Trust,0.1020260404159179,2011-01-03,27.63999938964844,2011-12-30,30.459999084472656
2011,2,GLD,ทองคำ,SPDR Gold Shares,0.10137685139973951,2011-01-03,138.0,2011-12-30,151.99000549316406
2011,3,USO,น้ำมันดิบ,United States Oil Fund,-0.024071668247739098,2011-01-03,312.3999938964844,2011-12-30,304.8800048828125
2011,4,DBC,ภาพรวม,Invesco DB Commodity Index Tracking,-0.029996321180509655,2011-01-03,23.39325714111328,2011-12-30,22.691545486450195
2011,5,GSG,ภาพรวม,iShares S&P GSCI Commodity-Indexed,-0.0396039779938403,2011-01-03,34.34000015258789,2011-12-30,32.97999954223633
2012,1,IAU,ทองคำ,iShares Gold Trust,0.04092073716583977,2012-01-03,31.280000686645508,2012-12-31,32.560001373291016
2012,2,GLD,ทองคำ,SPDR Gold Shares,0.03912266659281283,2012-01-03,155.9199981689453,2012-12-31,162.02000427246094
2012,3,SLV,เงิน,iShares Silver Trust,0.018730520879513435,2012-01-03,28.82999992370605,2012-12-31,29.3700008392334
2012,4,DBC,ภาพรวม,Invesco DB Commodity Index Tracking,0.005065172798742079,2012-01-03,23.367895126342773,2012-12-31,23.486257553100582
2012,5,GSG,ภาพรวม,iShares S&P GSCI Commodity-Indexed,-0.04010535532799642,2012-01-03,34.15999984741211,2012-12-31,32.790000915527344
2013,1,UNG,ก๊าซธรรมชาติ,United States Natural Gas Fund,0.13432021895191393,2013-01-02,291.8399963378906,2013-12-31,331.0400085449219
2013,2,USO,น้ำมันดิบ,United States Oil Fund,0.04435245456934633,2013-01-02,270.5599975585937,2013-12-31,282.5599975585937
