year,rank,ticker,segment,name,return_,start_date,start_price,end_date,end_price
2005,1,XLB,Materials,SPDR Materials Select Sector ETF,0.020903437103354294,2005-12-19,9.570806503295898,2005-12-30,9.770869255065918
2005,2,XLI,Industrials,SPDR Industrial Select Sector ETF,0.0019131162506247357,2005-12-19,21.33249282836914,2005-12-30,21.37330436706543
2005,3,XLF,Financials,SPDR Financial Select Sector ETF,-0.0009463629593383649,2005-12-19,17.310712814331055,2005-12-30,17.294330596923828
2005,4,XLE,Energy,SPDR Energy Select Sector ETF,-0.006712943795145088,2005-12-19,14.11998176574707,2005-12-30,14.025195121765137
2005,5,XLV,Healthcare,SPDR Healthcare Select Sector ETF,-0.008129723991899818,2005-12-19,22.69775009155273,2005-12-30,22.51322364807129
2006,1,XLU,Utilities,SPDR Utilities Select Sector ETF,0.18588157174904407,2006-01-03,8.008405685424805,2006-12-29,9.497020721435549
2006,2,XLY,Consumer Discretionary,SPDR Consumer Discretionary Select Sector ETF,0.17156104939779726,2006-01-03,12.84255027770996,2006-12-29,15.045831680297852
2006,3,XLF,Financials,SPDR Financial Select Sector ETF,0.16931832468104546,2006-01-03,17.583749771118164,2006-12-29,20.56100082397461
2006,4,XLB,Materials,SPDR Materials Select Sector ETF,0.15914736420732756,2006-01-03,9.97739028930664,2006-12-29,11.565265655517578
2006,5,XLP,Consumer Staples,SPDR Consumer Staples Select Sector ETF,0.13757232224876548,2006-01-03,13.831440925598145,2006-12-29,15.734264373779297
2007,1,XLE,Energy,SPDR Energy Select Sector ETF,0.4184804131610951,2007-01-03,15.980396270751951,2007-12-31,22.66787910461425
2007,2,XLB,Materials,SPDR Materials Select Sector ETF,0.22896857789799596,2007-01-03,11.48891258239746,2007-12-31,14.119512557983398
2007,3,XLU,Utilities,SPDR Utilities Select Sector ETF,0.18098991454381497,2007-01-03,9.522884368896484,2007-12-31,11.246430397033691
2007,4,XLK,Technology,SPDR Technology Select Sector ETF,0.1511054022530922,2007-01-03,9.081671714782717,2007-12-31,10.453961372375488
2007,5,XLI,Industrials,SPDR Industrial Select Sector ETF,0.12784433808891627,2007-01-03,24.41454696655273,2007-12-31,27.535808563232425
2008,1,XLP,Consumer Staples,SPDR Consumer Staples Select Sector ETF,-0.13796375434987962,2008-01-02,17.477935791015625,2008-12-31,15.066614151000977
2008,2,XLV,Healthcare,SPDR Healthcare Select Sector ETF,-0.2249796040586337,2008-01-02,25.55560874938965,2008-12-31,19.80611801147461
2008,3,XLU,Utilities,SPDR Utilities Select Sector ETF,-0.28504833457574297,2008-01-02,11.182662010192873,2008-12-31,7.995062828063965
2008,4,XLY,Consumer Discretionary,SPDR Consumer Discretionary Select Sector ETF,-0.3193036050284357,2008-01-02,12.790721893310549,2008-12-31,8.706598281860352
2008,5,XLI,Industrials,SPDR Industrial Select Sector ETF,-0.37693408731984224,2008-01-02,27.078763961791992,2008-12-31,16.871854782104492
