country_code,corr,p,n
SAA,0.5144632986752016,0.2963871920139162,6
VNA,0.11671884423991619,0.7179161592063231,12
FRA,-0.04306852075943507,0.8741637744143225,16
JPA,-0.17605843869879753,0.5142507505393343,16
INA,-0.2782959019329701,0.4683874215139364,9
ITA,-0.2790748311502034,0.4348887900529674,10
ESA,-0.3527092213380488,0.1802650228270269,16
CNA,-0.3673387609736364,0.2963794652314721,10
ARA,-0.382508433267248,0.3096257887753482,9
ZAA,-0.3932870819548183,0.13179952972470388,16
BRA,-0.43933148754078033,0.08863898911622743,16
AUA,-0.45519071953931634,0.07644792938390797,16
GBA,-0.47028309599609447,0.17017676671732707,10
CAA,-0.5117446215262191,0.042732972391992544,16
DEA,-0.5245202802346596,0.03698926827932997,16
NLA,-0.5288633119658163,0.06312913199394461,13
TRA,-0.5857665769315865,0.03541638123751805,13
KRA,-0.622127828082504,0.010071796022530385,16
MXA,-0.6407271440813824,0.007489539092650385,16
SGA,-0.6583943668376921,0.005552903842246846,16
IDA,-0.6775967218440215,0.02196546704755047,11
