symbol,name,avg_sentiment,std_sentiment,median_sentiment,min_sentiment,max_sentiment,sentiment_count
EWU,iShares MSCI United Kingdom,0.6752,0.04754132705108027,0.6795,0.558,0.754,10
EWJ,iShares MSCI Japan,0.6585,0.0683102167635685,0.646,0.525,0.742,8
EWP,iShares MSCI Spain,0.567,0.20927254956157054,0.586,0.146,0.742,7
GLD,SPDR Gold Shares,0.5652,0.20548522520555532,0.646,0.146,0.754,10
VXUS,Vanguard Total International Stock,0.5645,0.2515025754431661,0.6105,-0.146,0.754,12
XMMO,Invesco S&P MidCap Momentum,0.55825,0.18327711259183455,0.605,0.146,0.725,8
VNM,VanEck Vietnam,0.55,0.22366393440954122,0.646,0.146,0.754,10
EWY,iShares MSCI South Korea,0.5463333333333333,0.2557801790600671,0.675,0.1,0.754,9
XLV,SPDR Healthcare Select Sector ETF,0.5443333333333333,0.10277011710461836,0.5549999999999999,0.375,0.646,12
SLV,iShares Silver Trust,0.5338181818181819,0.3629057227936253,0.675,-0.423,0.756,11
XLC,SPDR Communication Services Select Sector ETF,0.5318181818181819,0.18052967522366967,0.575,0.146,0.682,11
ECH,iShares MSCI Chile,0.51625,0.18315871160379907,0.6105,0.146,0.675,12
UAE,iShares MSCI UAE,0.4971666666666667,0.1690743963915043,0.5225,0.146,0.682,12
TUR,iShares MSCI Turkey,0.49025,0.2954451571934983,0.646,-0.342,0.683,12
XLU,SPDR Utilities Select Sector ETF,0.48358333333333337,0.2859896559900958,0.646,-0.146,0.746,12
DBC,Invesco DB Commodity Index Tracking,0.4656,0.14323422930446633,0.5265,0.146,0.6,10
XLI,SPDR Industrial Select Sector ETF,0.46358333333333335,0.3653218900275938,0.646,-0.325,0.742,12
FDMO,Fidelity Momentum Factor,0.4558,0.2904560207673444,0.563,0.146,0.749,5
EWZ,iShares MSCI Brazil,0.4412222222222222,0.3726602936246957,0.564,-0.267,0.726,9
XLY,SPDR Consumer Discretionary Select Sector ETF,0.402,0.30923906609611923,0.482,-0.146,0.742,11
XLB,SPDR Materials Select Sector ETF,0.3875,0.2377032144961826,0.391,0.146,0.682,12
EWA,iShares MSCI Australia,0.3795,0.21978026216283308,0.366,0.146,0.682,12
INDA,iShares MSCI India,0.379,0.15476002929266544,0.40349999999999997,0.146,0.564,10
MCHI,iShares MSCI China,0.35144444444444445,0.2577416880866923,0.3,0.0,0.646,9
EZA,iShares MSCI South Africa,0.35058333333333336,0.4030816426061358,0.5229999999999999,-0.367,0.754,12
XLP,SPDR Consumer Staples Select Sector ETF,0.32816666666666666,0.1496364280717119,0.3125,0.146,0.563,12
EWQ,iShares MSCI France,0.3025,0.34310306656413647,0.355,-0.146,0.646,8
DBA,Invesco DB Agriculture,0.2998181818181818,0.27509882521807255,0.3,-0.292,0.646,11
EWN,iShares MSCI Netherlands,0.2892222222222222,0.2831994781853322,0.35,-0.267,0.646,9
EIS,iShares MSCI Israel,0.27675,0.4740542978106277,0.498,-0.646,0.754,12
MTUM,iShares MSCI USA Momentum Factor,0.2518571428571429,0.3913968270061424,0.446,-0.475,0.646,7
EWS,iShares MSCI Singapore,0.23240000000000002,0.5144587662993237,0.4625,-0.65,0.684,10
EWI,iShares MSCI Italy,0.2279,0.4764277839645095,0.355,-0.675,0.646,10
PDBC,Invesco Optimum Yield Diversified,0.21890909090909091,0.13190409739310946,0.146,0.1,0.482,11
GSG,iShares S&P GSCI Commodity-Indexed,0.20985714285714285,0.48313539460880894,0.462,-0.487,0.646,7
EWG,iShares MSCI Germany,0.20025,0.4628261258045755,0.325,-0.675,0.675,12
EWW,iShares MSCI Mexico,0.1536,0.46307575574149373,0.1165,-0.375,0.7,10
QMOM,Alpha Architect US Quantitative Momentum,0.15175,0.2650363182660067,0.146,-0.167,0.482,4
EIDO,iShares MSCI Indonesia,0.11491666666666667,0.34213645824525346,0.198,-0.575,0.5,12
XLRE,SPDR Real Estate Select Sector ETF,0.09583333333333333,0.3454924899416203,0.146,-0.625,0.625,12
EWC,iShares MSCI Canada,0.06981818181818182,0.5142763494818361,0.146,-0.675,0.746,11
IAU,iShares Gold Trust,0.06958333333333334,0.5494932307190513,0.1,-0.675,0.8,12
EWL,iShares MSCI Switzerland,0.04641666666666667,0.323879174534223,0.146,-0.564,0.646,12
EWT,iShares MSCI Taiwan,0.0182,0.4834549617079134,-0.146,-0.525,0.654,5
XLF,SPDR Financial Select Sector ETF,0.014166666666666662,0.526794738935097,0.0,-0.753,0.646,12
XLK,SPDR Technology Select Sector ETF,-0.0005000000000000131,0.44073234508032194,-0.047999999999999994,-0.675,0.564,12
PDP,Invesco Dorsey Wright Momentum,-0.012571428571428567,0.4773198987202249,-0.146,-0.525,0.675,7
UNG,United States Natural Gas Fund,-0.1119,0.5038984575840212,-0.146,-0.754,0.675,10
XLE,SPDR Energy Select Sector ETF,-0.12958333333333333,0.45788018645876694,-0.146,-0.758,0.675,12
THD,iShares MSCI Thailand,-0.15616666666666668,0.5478128938484988,-0.1895,-0.675,0.646,6
KSA,iShares MSCI Saudi Arabia,-0.17958333333333334,0.3494953396316501,-0.2605,-0.682,0.346,12
USO,United States Oil Fund,-0.2211818181818182,0.4627852240903588,-0.367,-0.675,0.527,11
ARGT,Global X MSCI Argentina,-0.35555555555555557,0.5066878010943008,-0.674,-0.8,0.42,9
