symbol,name,avg_sentiment,median_sentiment,min_sentiment,max_sentiment,sentiment_count
EWU,iShares MSCI United Kingdom,0.6752,0.6795,0.558,0.754,10
EWJ,iShares MSCI Japan,0.6585,0.646,0.525,0.742,8
EWP,iShares MSCI Spain,0.567,0.586,0.146,0.742,7
GLD,SPDR Gold Shares,0.5652,0.646,0.146,0.754,10
VXUS,Vanguard Total International Stock,0.5645,0.6105,-0.146,0.754,12
XMMO,Invesco S&P MidCap Momentum,0.55825,0.605,0.146,0.725,8
VNM,VanEck Vietnam,0.55,0.646,0.146,0.754,10
EWY,iShares MSCI South Korea,0.5463333333333333,0.675,0.1,0.754,9
XLV,SPDR Healthcare Select Sector ETF,0.5443333333333333,0.5549999999999999,0.375,0.646,12
SLV,iShares Silver Trust,0.5338181818181819,0.675,-0.423,0.756,11
XLC,SPDR Communication Services Select Sector ETF,0.5318181818181819,0.575,0.146,0.682,11
ECH,iShares MSCI Chile,0.51625,0.6105,0.146,0.675,12
UAE,iShares MSCI UAE,0.4971666666666667,0.5225,0.146,0.682,12
TUR,iShares MSCI Turkey,0.49025,0.646,-0.342,0.683,12
XLU,SPDR Utilities Select Sector ETF,0.48358333333333337,0.646,-0.146,0.746,12
DBC,Invesco DB Commodity Index Tracking,0.4656,0.5265,0.146,0.6,10
XLI,SPDR Industrial Select Sector ETF,0.46358333333333335,0.646,-0.325,0.742,12
FDMO,Fidelity Momentum Factor,0.4558,0.563,0.146,0.749,5
EWZ,iShares MSCI Brazil,0.4412222222222222,0.564,-0.267,0.726,9
XLY,SPDR Consumer Discretionary Select Sector ETF,0.402,0.482,-0.146,0.742,11
XLB,SPDR Materials Select Sector ETF,0.3875,0.391,0.146,0.682,12
EWA,iShares MSCI Australia,0.3795,0.366,0.146,0.682,12
INDA,iShares MSCI India,0.379,0.40349999999999997,0.146,0.564,10
MCHI,iShares MSCI China,0.35144444444444445,0.3,0.0,0.646,9
EZA,iShares MSCI South Africa,0.35058333333333336,0.5229999999999999,-0.367,0.754,12
XLP,SPDR Consumer Staples Select Sector ETF,0.32816666666666666,0.3125,0.146,0.563,12
EWQ,iShares MSCI France,0.3025,0.355,-0.146,0.646,8
DBA,Invesco DB Agriculture,0.2998181818181818,0.3,-0.292,0.646,11
EWN,iShares MSCI Netherlands,0.2892222222222222,0.35,-0.267,0.646,9
EIS,iShares MSCI Israel,0.27675,0.498,-0.646,0.754,12
MTUM,iShares MSCI USA Momentum Factor,0.2518571428571429,0.446,-0.475,0.646,7
EWS,iShares MSCI Singapore,0.23240000000000002,0.4625,-0.65,0.684,10
EWI,iShares MSCI Italy,0.2279,0.355,-0.675,0.646,10
PDBC,Invesco Optimum Yield Diversified,0.21890909090909091,0.146,0.1,0.482,11
GSG,iShares S&P GSCI Commodity-Indexed,0.20985714285714285,0.462,-0.487,0.646,7
EWG,iShares MSCI Germany,0.20025,0.325,-0.675,0.675,12
EWW,iShares MSCI Mexico,0.1536,0.1165,-0.375,0.7,10
QMOM,Alpha Architect US Quantitative Momentum,0.15175,0.146,-0.167,0.482,4
EIDO,iShares MSCI Indonesia,0.11491666666666667,0.198,-0.575,0.5,12
XLRE,SPDR Real Estate Select Sector ETF,0.09583333333333333,0.146,-0.625,0.625,12
EWC,iShares MSCI Canada,0.06981818181818182,0.146,-0.675,0.746,11
IAU,iShares Gold Trust,0.06958333333333334,0.1,-0.675,0.8,12
EWL,iShares MSCI Switzerland,0.04641666666666667,0.146,-0.564,0.646,12
EWT,iShares MSCI Taiwan,0.0182,-0.146,-0.525,0.654,5
XLF,SPDR Financial Select Sector ETF,0.014166666666666662,0.0,-0.753,0.646,12
XLK,SPDR Technology Select Sector ETF,-0.0005000000000000131,-0.047999999999999994,-0.675,0.564,12
PDP,Invesco Dorsey Wright Momentum,-0.012571428571428567,-0.146,-0.525,0.675,7
UNG,United States Natural Gas Fund,-0.1119,-0.146,-0.754,0.675,10
XLE,SPDR Energy Select Sector ETF,-0.12958333333333333,-0.146,-0.758,0.675,12
THD,iShares MSCI Thailand,-0.15616666666666668,-0.1895,-0.675,0.646,6
KSA,iShares MSCI Saudi Arabia,-0.17958333333333334,-0.2605,-0.682,0.346,12
USO,United States Oil Fund,-0.2211818181818182,-0.367,-0.675,0.527,11
ARGT,Global X MSCI Argentina,-0.35555555555555557,-0.674,-0.8,0.42,9
